Indicator,Economy,Year,Value
Growth Rates in Population,Brunei Darussalam,2022,1.06
Growth Rates in Population,Brunei Darussalam,2023,1.15
Growth Rates in Population,Brunei Darussalam,2024,1.11
Growth Rates in Population,Brunei Darussalam,2025,0.0
Growth Rates in Population,Cambodia,2016,1.41
Growth Rates in Population,Cambodia,2017,1.41
Growth Rates in Population,Cambodia,2018,1.41
Growth Rates in Population,Cambodia,2019,1.36
Growth Rates in Population,Cambodia,2020,1.36
Growth Rates in Population,Cambodia,2021,1.5
Growth Rates in Population,Cambodia,2022,1.5
Growth Rates in Population,Cambodia,2023,1.5
Growth Rates in Population,Cambodia,2024,1.2
Growth Rates in Population,Cambodia,2025,0.0
Growth Rates in Population,Indonesia,2016,1.36
Growth Rates in Population,Indonesia,2017,1.34
Growth Rates in Population,Indonesia,2018,1.33
Growth Rates in Population,Indonesia,2019,1.31
Growth Rates in Population,Indonesia,2020,1.25
Growth Rates in Population,Indonesia,2021,1.22
Growth Rates in Population,Indonesia,2022,1.17
Growth Rates in Population,Indonesia,2023,1.13
Growth Rates in Population,Indonesia,2024,1.11
Growth Rates in Population,Indonesia,2025,0.0
Growth Rates in Population,Lao People's Democratic Republic,2016,0.0
Growth Rates in Population,Lao People's Democratic Republic,2017,1.68
Growth Rates in Population,Lao People's Democratic Republic,2018,1.62
Growth Rates in Population,Lao People's Democratic Republic,2019,1.57
Growth Rates in Population,Lao People's Democratic Republic,2020,1.52
Growth Rates in Population,Lao People's Democratic Republic,2021,1.48
Growth Rates in Population,Lao People's Democratic Republic,2022,1.43
Growth Rates in Population,Lao People's Democratic Republic,2023,1.44
Growth Rates in Population,Lao People's Democratic Republic,2024,1.28
Growth Rates in Population,Lao People's Democratic Republic,2025,0.0
Growth Rates in Population,Malaysia,2016,1.4
Growth Rates in Population,Malaysia,2017,1.2
Growth Rates in Population,Malaysia,2018,1.1
Growth Rates in Population,Malaysia,2019,0.4
Growth Rates in Population,Malaysia,2020,-0.2
Growth Rates in Population,Malaysia,2021,0.4
Growth Rates in Population,Malaysia,2022,0.4
Growth Rates in Population,Malaysia,2023,2.1
Growth Rates in Population,Malaysia,2024,1.98
Growth Rates in Population,Malaysia,2025,0.0
Growth Rates in Population,Myanmar,2016,0.8
Growth Rates in Population,Myanmar,2017,0.74
Growth Rates in Population,Myanmar,2018,0.7
Growth Rates in Population,Myanmar,2019,0.7
Growth Rates in Population,Myanmar,2020,0.72
Growth Rates in Population,Myanmar,2021,0.67
Growth Rates in Population,Myanmar,2022,0.71
Growth Rates in Population,Myanmar,2023,0.69
Growth Rates in Population,Myanmar,2024,0.66
Growth Rates in Population,Myanmar,2025,0.0
Growth Rates in Population,Philippines,2016,1.68
Growth Rates in Population,Philippines,2017,1.6
Growth Rates in Population,Philippines,2018,1.52
Growth Rates in Population,Philippines,2019,1.46
Growth Rates in Population,Philippines,2020,0.0
Growth Rates in Population,Philippines,2021,0.8
Growth Rates in Population,Philippines,2022,0.78
Growth Rates in Population,Philippines,2023,0.88
Growth Rates in Population,Philippines,2024,0.88
Growth Rates in Population,Philippines,2025,0.0
Growth Rates in Population,Singapore,2016,1.3
Growth Rates in Population,Singapore,2017,0.1
Growth Rates in Population,Singapore,2018,0.5
Growth Rates in Population,Singapore,2019,1.2
Growth Rates in Population,Singapore,2020,-0.3
Growth Rates in Population,Singapore,2021,-4.1
Growth Rates in Population,Singapore,2022,3.4
Growth Rates in Population,Singapore,2023,5.0
Growth Rates in Population,Singapore,2024,2.0
Growth Rates in Population,Singapore,2025,0.0
Growth Rates in Population,Thailand,2016,0.39
Growth Rates in Population,Thailand,2017,0.94
Growth Rates in Population,Thailand,2018,0.32
Growth Rates in Population,Thailand,2019,0.3
Growth Rates in Population,Thailand,2020,0.28
Growth Rates in Population,Thailand,2021,0.26
Growth Rates in Population,Thailand,2022,0.23
Growth Rates in Population,Thailand,2023,0.21
Growth Rates in Population,Thailand,2024,0.25
Growth Rates in Population,Thailand,2025,0.0
Growth Rates in Population,Timor-Leste,2016,1.55
Growth Rates in Population,Timor-Leste,2017,1.52
Growth Rates in Population,Timor-Leste,2018,1.5
Growth Rates in Population,Timor-Leste,2019,1.47
Growth Rates in Population,Timor-Leste,2020,1.53
Growth Rates in Population,Timor-Leste,2021,1.61
Growth Rates in Population,Timor-Leste,2022,1.48
Growth Rates in Population,Timor-Leste,2023,1.5
Growth Rates in Population,Timor-Leste,2024,2.94
Growth Rates in Population,Timor-Leste,2025,0.0
Growth Rates in Population,Viet Nam,2016,1.11
Growth Rates in Population,Viet Nam,2017,1.11
Growth Rates in Population,Viet Nam,2018,1.17
Growth Rates in Population,Viet Nam,2019,1.15
Growth Rates in Population,Viet Nam,2020,1.14
Growth Rates in Population,Viet Nam,2021,0.95
Growth Rates in Population,Viet Nam,2022,0.98
Growth Rates in Population,Viet Nam,2023,0.85
Growth Rates in Population,Viet Nam,2024,1.03
